No,Tgl_Iklan,url,Harga_Juta,Kota,LT,LB,KT,KM,KTP,KMP,Carport,Garasi,Listrik,Surat,Judul,Deskripsi,
1,07-06-17,https://www.rumah123.com/properti/depok/hos2908308/,12000,DEPOK ,975,800,6,5,1,1,2,1,11000,SHM,RUMAH CANTIK ASRI,"LOKASI SANGAT STRATEGIS DEKAT PONDOK INDAH, TOL TB SIMATUPANG, AMAN NYAMAN , TENANG DAN BEBAS BANJIR",
2,06-01-21,https://www.rumah.com/listing-properti/dijual-grand-matoa-oleh-ruth-megawati-17204962,5500,DEPOK ,482,300,4,4,0,0,4,0,2200,SHM,GRAND MATOA,"RUMAH DI GRAND MATOA, SIAP HUNI, BAGUS LOKASI : GRAND MATOA, JAGAKARSA JAKSEL SEKITAR 1 KM DENGAN PINTU TOL ANDARA. 1 LOKASI DENGAN MATOA GOLF. LT/LB : 482/300 M2 (UK.TANAH 12X40)M2 KAMAR TIDUR : 4+2 KAMAR MANDI : 4+1 DAPUR KERING, DAPUR BASAH CARPORT : 4 MOBIL HADAP : BARAT BANGUNAN USIA 5 TAHUN TAMAN DI DEPAN DAN BELAKANG KONDISI SIAP HUNI, BAGUS, TAMAN LUAS, ADA BANGUNAN JOGLO JALAN DEPAN RUMAH : 10 METER",
3,08-03-21,https://www.rumah123.com/properti/depok/hos7700281/,500,DEPOK ,120,45,2,1,0,0,0,0,1300,SHM,RUMAH MURAH BISA KPR DEPELOVER CICILAN FLAT,RUMAH MURAH TERSEDIA TIPE 45/120 HARGA CASH 500JT,
4,10-03-21,https://www.rumah123.com/properti/depok/hos7480153/,975,DEPOK ,72,105,3,4,0,0,1,0,2200,SHM,"RUMAH CANTIK DAN ASRI JAMINAN DEKAT TOL, MALL, STASIUN DAN MARGONDA",DIJUAL RUMAH 2 LANTAI DI LOKASI STRATEGIS DEKAT TOLL DAN MALL,
5,12-03-21,https://www.rumah123.com/properti/depok/hos5165680/,645,DEPOK ,70,42,2,1,0,0,0,0,1300,SHM,RUMAH SIAP HUNI DEPOK NUANSA BALI LOKASI PINGGIR JALAN RAYA DEKAT TOL DAN STASIUN PONDOK CINA,RUMAH SIAP HUNI CANTIK BERNUANSA BALI,
6,17-03-21,https://www.rumah.com/listing-properti/dijual-cluster-2-lantai-harga-kompetitif-lokasi-strategis-hanya-5-menit-ke-itc-depok-oleh-ade-saputra-18240745,1025,DEPOK ,63,61,3,2,0,0,2,0,2200,SHM,CLUSTER 2 LANTAI HARGA KOMPETITIF LOKASI STRATEGIS HANYA 5 MENIT KE ITC DEPOK,"CLUSTER MODERN 2 LANTAI KONSEP AMERICAN HOUSE LOKASI SUPER STRATEGIS INFO: UNTUK RESPON LEBIH CEPAT, BISA HUBUNGI KAMI VIA WA NOTE: SIMULASI ANGSURAN RESMI HANYA BISA DIDAPATKAN VIA INFO WHATSAPP (BUKAN/ABAIKAN SIMULASI ANGSURAN DI WEBSITE INI) RUMAH 2 LANTAI LOKASI SUPER STRATEGIS DI PUSAT KOTA DEPOK PINGGIR JALAN MARGONDA DENGAN HARGA SUPER TERJANGKAU. HARGA REAL, NO TIPU-TIPU. CUKUP DP 10 JUTA ALL IN (DP SUDAH TERMASUK BIAYA-BIAYA AKAD KREDIT SEPERTI : AJB, BALIK NAMA, PAJAK PEMBELI, BIAYA ASURANSI JIWA, ASURANSI KEBAKARAN, SKMHT, HT, BIAYA PROVISI BANK, BIAYA ADMINISTRASI BANK) KELEBIHAN PERUMAHAN KAMI: - PINGGIR JALAN MARGONDA - JALAN KAKI 5 MENIT KE SALADDIN SQUARE - JALAN KAKI 5 MENIT KE ITC DEPOK - JALAN KAKI 5 MENIT KE KANTOR WALIKOTA - JALAN KAKI 5 MENIT KE RUMAH SAKIT MITRA KELUARGA - JALAN KAKI 10 MENIT KE STASIUN DEPOK - JALAN KAKI 10 MENIT KE PASAR TRADISIONAL KEMIRI - KURANG DARI 10 MENIT KE ARAH MALL D'MALL, DETOS, MARGO CITY, DAN PESONA SQUARE - HANYA 10 MENIT KE PINTU TOL CIJAGO",
7,18-03-21,https://www.rumah123.com/properti/depok/hos8048529/,485,DEPOK ,61,45,2,1,0,0,0,0,1300,SHM,RUMAH SIAP HUNI TANPA UANG MUKA PINGGIR JALAN 800M KE STASIUN,"RUMAH MEWAH TEPAT DI JALAN RAYA CIPAYUNG, KOTA DEPOK DAN DI DESIGN DENGAN SANGAT MENAWAN DAN BERKUALITAS TINGGI.",
8,18-03-21,https://www.rumah123.com/properti/depok/hos8046013/,469.5,DEPOK ,60,40,2,1,0,0,1,0,1300,SHM,RUMAH CIMANGGIS DEKAT TOL HARGA TERMURAH,TERMURAH DI CIMANGGIS,
9,18-03-21,https://www.rumah123.com/properti/depok/hos7916893/,680,DEPOK ,58,100,2,2,1,0,1,0,2200,SHM,RUMAH MEWAH HARGA MURAH TERBUKTI BEBAS BANJIR LOKASI SUPER STRATEGIS DITAPOS,HUNIAN NYAMAN GAYA CLASSIC EROPA TYPE 2LANTAI LINGKUNGAN NYAMAN DAN ASRI,
10,18-03-21,https://www.rumah123.com/properti/depok/hos8028079/,650,DEPOK ,72,45,2,1,0,0,0,0,1300,SHM,RUMAH DI RADAR AURI CIMANGGIS SIAP HUNI,SIAP HUNI RUMAH DI RADAR AURI DEPOK TERMURAH !!! BERADA DI PUSAT KOTA,
